"Well.Position","Target","Mean","sd"
"A","AURKA",19.0077893433333,2.03034234827121
"A","GAPDH",9.82641687666667,0.855931248829489
"A","HDAC6",24.0661841,5.35142317310978
"B","AURKA",23.2686741,3.52856979466345
"B","GAPDH",16.61278295,0.326817702026608
"B","HDAC6",24.6012684233333,2.91820190398417
"C","AURKA",24.59819172,1.48873654081381
"C","GAPDH",19.1568113366667,0.467411837176279
"C","HDAC6",27.0193346966667,0.869975822158856
"D","AURKA",26.05687739,1.44361285777134
"D","GAPDH",20.6202523233333,0.152218297563977
"D","HDAC6",28.1114623033333,0.79868484201711
"E","AURKA",27.3197668866667,0.862101343094221
"E","GAPDH",21.7798918566667,0.798793510128329
"E","HDAC6",28.6587096333333,0.854927200430786
"F","AURKA",30.1121931133333,0.664632039893244
"F","GAPDH",22.9847804466667,0.382760560515783
"F","HDAC6",31.29470836,0.15725945729174
